Figure Numer,notes,Caption,AltText
2.1,,"North Atlantic Oscillation (NAO) and Atlantic Multidecadal Oscillation (AMO) indices smoothed using a 10-year moving average, and Gulf Stream North Wall index.","Times series describing the North Atlantic Oscillation (NAO) and Atlantic Multidecadal Oscillation (AMO) indices and Gulf Stream North Wall index. The X-axis shows time in years ranging from 1960 to 2014. The Y-axis shows the10-year moving average of each index range around zero. In the last 5 years, the NAO index was below the normal range, while AMO was above and Gulf Stream North Wall Index remained within the normal range. "
3.1,,Long-term sea surface temperatures averaged over the northeast U.S. continental shelf and adjacent waters.,"Time series describing sea surface temperature (SST) averaged over the northeast U.S. continental shelf and adjacent waters. The X-axis shows time in years ranging from 1950 to 2014. The Y-axis shows sea surface temperature in degrees Celsius. In the last 5 years, the SST was higher that the longer average. "
3.2,,"Thermal layering (stratification) of the upper 50m of the water column for the Gulf of Maine (GOM), Georges Bank (GB) and the Mid-Atlantic Bight (MAB).","Time series describing thermal layering or stratification in the Ecological Production Units (Gulf of Maine – GOM, Georges Bank – GB, Mid-Atlantic Bight – MAB). The X-axis show time in years ranging from 1977 to 2014. All three regions has been decreasing in the last 5 years. "
4.1,,Annual trends in small and large phytoplankton on the Northeast US shelf.,Time series of small (nano-picoplankton) and large (macroplankton) phytoplankton on the Northeast shelf. The X-axis shows time in years ranging from 1998 to 2014. Both small and large phytoplankton have shown decreasing trends in phytoplankton on the shelf in the last 5 years. 
4.2,,"Total amount of zooplankton (measured as displacement volume) for the Gulf of Maine (GOM), Georges Bank (GB) and the Mid-Atlantic Bight (MAB) in NEFSC plankton surveys.","Time series describing the total amount of zooplankton in the three EPUs (Gulf of Maine – GOM, Georges Bank – GB, Mid-Atlantic Bight – MAB). The X-axis shows time in years ranging from 1977 to 2013. Both GOM and MAB show increasing trends in the last 5 years while GB shows no trend in total amount of zooplankton. "
4.3,,Trends in copepod species composition measured as the difference in abundance of small and large-bodied species.," Time series describing the size difference of zooplankton in the three EPUs (Gulf of Maine – GOM, Georges Bank – GB, Mid-Atlantic Bight – MAB). The X-axis shows time in years ranging from 1977 to 2013. Both GOM and MAB show no trends in the last 5 years while GB shows an increasing trend in zooplankton size difference. "
5.1,,"Trends in biomass (mean weight per tow) in autumn NEFSC bottom trawl surveys for major fish groups including elasmobranchs (dogfish and skates), groundfish, small pelagic fish (herring, mackerel, etc.) and other finfish.","Time series describing biomass in the Fall NEFSC bottom trawl survey for major fish groups. The X-axis shows time in years ranging from 1963 to 2014. The Y-axis shows biomass in mean weight per tow. Elasmobranchs (dogfish and skates) range up to over 100 kg/tow and were above the normal range but did not show a trend in the last 5 years. Groundfish range up to over 100 kg/tow and were within the normal range but showed an increasing trend in the last 5 years. Small pelagic fish (herring, mackerel, etc.) range up to about 10 kg/tow and were above the normal range but did not show a trend in the last 5 years.  The category for other finfish range up to about 30 kg/tow and were within normal range but showed a decreasing trend in the last 5 years."
5.2,,Estimated forage fish species biomass on the Northeast Shelf.,"Time series describing forage fish species (Mackerel, Herring, Sand Lance and Butterfish) biomass on the Northeast Shelf. The X-axis shows time in years ranging from 1980 to 2012. Mackerel and Herring do not have data for the last 5 years and both Sand Lance and Butterfish show a decreasing biomass within the normal range in the last 5 years. "
5.3,,Trends in biodiversity in NEFSC Spring Bottom Trawl surveys.,"Time Series describing spring biodiversity from the NEFSC bottom trawl survey in the three EPUs (Gulf of Maine – GOM, Georges Bank – GB, Mid-Atlantic Bight – MAB). The X-axis shows time in years ranging from 1968 to 2014. The Y-axis shows diversity ranging from zero to 14. GOM shows below average values but no trend in the last 5 years. GB shows a decreasing trend with the normal range and MAB shows an increasing trend above the normal range in the last 5 years. "
5.4,,Trends in mean trophic level of fish communities in NEFSC Spring Bottom Trawl surveys.,"Time series describing mean trophic level (MTL) of fish communities in the NEFSC spring bottom trawl survey in the three EPUs (Gulf of Maine – GOM, Georges Bank – GB, Mid-Atlantic Bight – MAB). The X-axis shows time in years ranging from 1968 to 2014. The Y-axis shows MTL ranging from 3.6 to 4.4.  GOM shows no trend and values within the normal range while GB shows an increasing trend in the last 5 years. MAB shows above average values but no overall trend in the last 5 years. "
